ids,nazwa,Gęstość (g/cm^3),Kalorie (kcal/100g),Tłuszcz,Węglowodany,w tym cukry,Białko,Sól
1,wieprzowina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ziemniak,1.1,77.0,0.1,17.5,0.8,2.0,0.1
3,pudding,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,dynia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,rzepak,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,malina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,czerwona fasola,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ryż,1.15,130.0,0.0,28.0,0.0,3.0,0.0
9,sałatka,0.8,96.0,8.5,8.9,0.0,0.3,0.0
10,sos,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,kiełbasa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,wodorosty,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,skorupiaki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,twardnik japoński,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,krewetka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,groch cukrowy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,zupa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,soja,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,cebula szczypiorkowa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,stek,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,truskawka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,herbata,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,tofu,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,pomidor,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,orzech włoski,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,arbuz,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,pieczarka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,biała rzotkiew,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,wino,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,pierożki wonton,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,migdały,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,jabłko,0.85,52.0,0.2,14.0,10.0,0.3,0.01
33,morela,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,szparagi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,awokado,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,pędy bambusa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,banan,0.98,89.0,0.3,22.8,12.2,1.1,0.01
38,kiełki fasoli,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,herbatnik,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,jagoda,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,chleb,0.24,267.0,3.33,48.7,0.0,10.72,0.0
42,broków,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,kapusta,0.85,15.0,0.1,2.4,0.0,0.9,0.661
44,ciasto,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,cukierek,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,marchewka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,nerkowiec,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,kalafior,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,seler naciowy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ser / masło,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,wiśnia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,kurczak / kaczka,1.1,0.0,0.0,0.0,0.0,0.0,0.0
53,czekolada,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,kolendra / mięta,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,kawa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,kukurydza,1.0,6.0,0.0,0.0,0.0,0.0,0.0
57,krab,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,ogórek,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,daktyl,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,suszona żurawina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,jajka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,bakłażan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,tarta jajeczna,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,grzyby enoki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,figa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,ryba,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,fasolka szparagowa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,frytki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,smażone mięso,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,czosnek,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,imbir,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,winogrono,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,fasolka zielona,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,hamburger,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,hanamaki baozi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,lody,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,sok,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,glony,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,boczniak mikołajkowy,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,kiwi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,jagnięcina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,cytryna,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,sałata,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,mango,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,melon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,mleko,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,koktail mleczny,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,kluski,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,piżmian jadalny,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,oliwki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,cebula,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,pomarańcza,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,inne składniki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,boczniak ostrygowaty,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,makaron,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,brzoskwinia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,orzeszki,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,gruszka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,papryka,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,ciasto,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,ananas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,pizza,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,popcorn,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,schabowy,1.1,351.0,24.1,15.9,0.0,19.0,0.0
